Gene Set,Size,P Value,Description,Gene
GO:0002526,acute inflammatory response,-2.0538,0.00046954,MIR-181B-1
GO:0034341,response to interferon-gamma,-2.0654,0.00052171,MIR-181B-1
GO:0002251,organ or tissue specific immune response,-2.0877,0.00058692,MIR-181B-1
GO:0036230,granulocyte activation,-2.1524,0.00078256,MIR-181B-1
GO:0002446,neutrophil mediated immunity,-2.1856,0.00093908,MIR-181B-1
GO:0006959,humoral immune response,-1.9892,0.0018059,MIR-181B-1
GO:0002532,production of molecular mediator involved in inflammatory response,-1.976,0.0023477,MIR-181B-1
GO:0035456,response to interferon-beta,-1.8702,0.0087200,MIR-181B-1
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.8761,<2.2e-16,MIR-181B-2
GO:0035456,response to interferon-beta,-2.2533,<2.2e-16,MIR-181B-2
GO:0034340,response to type I interferon,-2.3456,<2.2e-16,MIR-181B-2
GO:0001525,angiogenesis,1.8309,0.00033097,MIR-181B-2
GO:0035455,response to interferon-alpha,-2.0467,0.00091599,MIR-181B-2
GO:0002507,tolerance induction,-2.0797,<2.2e-16,MIR-181C
GO:0002697,regulation of immune effector process,-2.0952,<2.2e-16,MIR-181C
GO:0001773,myeloid dendritic cell activation,-2.1551,<2.2e-16,MIR-181C
GO:0001525,angiogenesis,-2.1754,<2.2e-16,MIR-181C
GO:0002683,negative regulation of immune system process,-2.2081,<2.2e-16,MIR-181C
GO:0002764,immune response-regulating signaling pathway,-2.2125,<2.2e-16,MIR-181C
GO:0002449,lymphocyte mediated immunity,-2.2276,<2.2e-16,MIR-181C
GO:0001819,positive regulation of cytokine production,-2.2399,<2.2e-16,MIR-181C
GO:0002285,lymphocyte activation involved in immune response,-2.3263,<2.2e-16,MIR-181C
GO:0002526,acute inflammatory response,-2.3351,<2.2e-16,MIR-181C
GO:0002532,production of molecular mediator involved in inflammatory response,-2.3484,<2.2e-16,MIR-181C
GO:0006959,humoral immune response,-2.376,<2.2e-16,MIR-181C
GO:0002694,regulation of leukocyte activation,-2.4047,<2.2e-16,MIR-181C
GO:0002521,leukocyte differentiation,-2.3966,<2.2e-16,MIR-181C
GO:0002446,neutrophil mediated immunity,-2.6761,<2.2e-16,MIR-181C
GO:0001525,angiogenesis,-2.1482,<2.2e-16,MIR-182
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-1.9835,0.00062097,MIR-182
GO:0050727,regulation of inflammatory response,-2.0343,0.00070968,MIR-182
GO:0002532,production of molecular mediator involved in inflammatory response,-2.0143,<2.2e-16,MIR-183
GO:0001525,angiogenesis,-2.0183,<2.2e-16,MIR-183
GO:0032637,interleukin-8 production,-2.0399,<2.2e-16,MIR-183
GO:0002269,leukocyte activation involved in inflammatory response,-2.0511,<2.2e-16,MIR-183
GO:0042110,T cell activation,-2.0533,<2.2e-16,MIR-183
GO:0032635,interleukin-6 production,-2.0591,<2.2e-16,MIR-183
GO:0050900,leukocyte migration,-2.062,<2.2e-16,MIR-183
GO:0070661,leukocyte proliferation,-2.0668,<2.2e-16,MIR-183
GO:0007159,leukocyte cell-cell adhesion,-2.085,<2.2e-16,MIR-183
GO:0002526,acute inflammatory response,-2.1092,<2.2e-16,MIR-183
GO:0002250,adaptive immune response,-2.1095,<2.2e-16,MIR-183
GO:0034341,response to interferon-gamma,-2.1096,<2.2e-16,MIR-183
GO:0002694,regulation of leukocyte activation,-2.1283,<2.2e-16,MIR-183
GO:0050727,regulation of inflammatory response,-2.1455,<2.2e-16,MIR-183
GO:0002507,tolerance induction,-2.1976,<2.2e-16,MIR-184
GO:0002532,production of molecular mediator involved in inflammatory response,-2.248,<2.2e-16,MIR-184
GO:0001818,negative regulation of cytokine production,-2.3181,<2.2e-16,MIR-184
GO:0002440,production of molecular mediator of immune response,-2.3227,<2.2e-16,MIR-184
GO:0002526,acute inflammatory response,-2.3457,<2.2e-16,MIR-184
GO:0002683,negative regulation of immune system process,-2.3844,<2.2e-16,MIR-184
GO:0002521,leukocyte differentiation,-2.4484,<2.2e-16,MIR-184
GO:0002697,regulation of immune effector process,-2.5134,<2.2e-16,MIR-184
GO:0002446,neutrophil mediated immunity,-2.5555,<2.2e-16,MIR-184
GO:0002285,lymphocyte activation involved in immune response,-2.5729,<2.2e-16,MIR-184
GO:0001819,positive regulation of cytokine production,-2.5966,<2.2e-16,MIR-184
GO:0002449,lymphocyte mediated immunity,-2.6394,<2.2e-16,MIR-184
GO:0007159,leukocyte cell-cell adhesion,-2.7011,<2.2e-16,MIR-184
GO:0002694,regulation of leukocyte activation,-2.6695,<2.2e-16,MIR-184
GO:0002764,immune response-regulating signaling pathway,-2.7532,<2.2e-16,MIR-184
GO:0002250,adaptive immune response,-2.9524,<2.2e-16,MIR-184
GO:0002250,adaptive immune response,2.5951,<2.2e-16,MIR-185
GO:0007159,leukocyte cell-cell adhesion,2.4875,<2.2e-16,MIR-185
GO:0002449,lymphocyte mediated immunity,2.46,<2.2e-16,MIR-185
GO:0002694,regulation of leukocyte activation,2.3649,<2.2e-16,MIR-185
GO:0002764,immune response-regulating signaling pathway,2.3156,<2.2e-16,MIR-185
GO:0001819,positive regulation of cytokine production,2.3081,<2.2e-16,MIR-185
GO:0002521,leukocyte differentiation,2.2981,<2.2e-16,MIR-185
GO:0002285,lymphocyte activation involved in immune response,2.2967,<2.2e-16,MIR-185
GO:0002446,neutrophil mediated immunity,2.2604,<2.2e-16,MIR-185
GO:0002697,regulation of immune effector process,2.2307,<2.2e-16,MIR-185
GO:0002683,negative regulation of immune system process,2.1873,<2.2e-16,MIR-185
GO:0002440,production of molecular mediator of immune response,2.0995,<2.2e-16,MIR-185
GO:0002526,acute inflammatory response,2.0653,<2.2e-16,MIR-185
GO:0002532,production of molecular mediator involved in inflammatory response,1.9848,<2.2e-16,MIR-185
GO:0002269,leukocyte activation involved in inflammatory response,1.981,<2.2e-16,MIR-185
GO:0002250,adaptive immune response,2.7193,<2.2e-16,MIR-186
GO:0002449,lymphocyte mediated immunity,2.5319,<2.2e-16,MIR-186
GO:0001819,positive regulation of cytokine production,2.4713,<2.2e-16,MIR-186
GO:0002697,regulation of immune effector process,2.4431,<2.2e-16,MIR-186
GO:0002764,immune response-regulating signaling pathway,2.4271,<2.2e-16,MIR-186
GO:0007159,leukocyte cell-cell adhesion,2.42,<2.2e-16,MIR-186
GO:0002526,acute inflammatory response,2.4004,<2.2e-16,MIR-186
GO:0002446,neutrophil mediated immunity,2.3489,<2.2e-16,MIR-186
GO:0002694,regulation of leukocyte activation,2.297,<2.2e-16,MIR-186
GO:0002285,lymphocyte activation involved in immune response,2.2913,<2.2e-16,MIR-186
GO:0019882,antigen processing and presentation,2.2039,<2.2e-16,MIR-186
GO:0002532,production of molecular mediator involved in inflammatory response,2.177,<2.2e-16,MIR-186
GO:0006959,humoral immune response,2.1578,<2.2e-16,MIR-186
GO:0001818,negative regulation of cytokine production,2.1516,<2.2e-16,MIR-186
GO:0034340,response to type I interferon,1.932,0.0024383,MIR-187
GO:0001525,angiogenesis,-1.8265,0.0024574,MIR-187
GO:0035456,response to interferon-beta,1.9518,0.0030189,MIR-187
GO:0034340,response to type I interferon,2.2621,<2.2e-16,MIR-188
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-1.7773,0.018469,MIR-188
GO:0035456,response to interferon-beta,1.7987,0.11408,MIR-188
GO:0002251,organ or tissue specific immune response,1.6081,0.13558,MIR-188
GO:0032606,type I interferon production,1.8188,0.13752,MIR-188
GO:0001525,angiogenesis,-1.9695,<2.2e-16,MIR-191
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-2.1062,<2.2e-16,MIR-191
GO:0034340,response to type I interferon,1.9092,0.0012633,MIR-191
GO:0034340,response to type I interferon,2.1474,<2.2e-16,MIR-192
GO:0035456,response to interferon-beta,1.8525,0.010479,MIR-192
GO:0032606,type I interferon production,1.7083,0.021376,MIR-192
GO:0007159,leukocyte cell-cell adhesion,2.4022,<2.2e-16,MIR-193A
GO:0002764,immune response-regulating signaling pathway,2.3549,<2.2e-16,MIR-193A
GO:0002250,adaptive immune response,2.3227,<2.2e-16,MIR-193A
GO:0001819,positive regulation of cytokine production,2.3149,<2.2e-16,MIR-193A
GO:0002521,leukocyte differentiation,2.2517,<2.2e-16,MIR-193A
GO:0002694,regulation of leukocyte activation,2.2498,<2.2e-16,MIR-193A
GO:0002449,lymphocyte mediated immunity,2.2349,<2.2e-16,MIR-193A
GO:0002285,lymphocyte activation involved in immune response,2.2007,<2.2e-16,MIR-193A
GO:0002697,regulation of immune effector process,2.1965,<2.2e-16,MIR-193A
GO:0002448,mast cell mediated immunity,2.1766,<2.2e-16,MIR-193A
GO:0002507,tolerance induction,2.1263,<2.2e-16,MIR-193A
GO:0001525,angiogenesis,2.123,<2.2e-16,MIR-193A
GO:0002683,negative regulation of immune system process,2.0798,<2.2e-16,MIR-193A
GO:0034340,response to type I interferon,2.0899,<2.2e-16,MIR-194-1
GO:0001525,angiogenesis,-1.9943,0.00081318,MIR-194-1
GO:0070670,response to interleukin-4,1.9881,0.0013519,MIR-194-1
GO:0035456,response to interferon-beta,1.7149,0.032175,MIR-194-1
GO:0032606,type I interferon production,1.6413,0.055041,MIR-194-1
GO:0001525,angiogenesis,-2.0224,0.00054432,MIR-194-2
GO:0034340,response to type I interferon,1.7257,0.043402,MIR-194-2
GO:0070670,response to interleukin-4,1.5813,0.11427,MIR-194-2
GO:0032606,type I interferon production,1.4768,0.12447,MIR-194-2
GO:0050900,leukocyte migration,2.2101,<2.2e-16,MIR-195
GO:0050727,regulation of inflammatory response,2.1486,<2.2e-16,MIR-195
GO:0032637,interleukin-8 production,2.11,<2.2e-16,MIR-195
GO:0007159,leukocyte cell-cell adhesion,2.0984,<2.2e-16,MIR-195
GO:0032635,interleukin-6 production,2.0977,<2.2e-16,MIR-195
GO:0071706,tumor necrosis factor superfamily cytokine production,2.0887,<2.2e-16,MIR-195
GO:0032609,interferon-gamma production,2.0832,<2.2e-16,MIR-195
GO:0002250,adaptive immune response,2.0726,<2.2e-16,MIR-195
GO:0042116,macrophage activation,2.0707,<2.2e-16,MIR-195
GO:0002526,acute inflammatory response,2.0452,<2.2e-16,MIR-195
GO:0001525,angiogenesis,2.0048,<2.2e-16,MIR-195
GO:0002532,production of molecular mediator involved in inflammatory response,1.9989,<2.2e-16,MIR-195
GO:0034341,response to interferon-gamma,1.9964,<2.2e-16,MIR-195
GO:0001819,positive regulation of cytokine production,1.9942,<2.2e-16,MIR-195
GO:0035455,response to interferon-alpha,-2.1265,<2.2e-16,MIR-196A-1
GO:0035456,response to interferon-beta,-1.7686,0.015182,MIR-196A-1
GO:0035455,response to interferon-alpha,-2.088,<2.2e-16,MIR-196A-2
GO:0035456,response to interferon-beta,-1.8528,0.065291,MIR-196A-2
GO:0034340,response to type I interferon,-1.7986,0.081538,MIR-196A-2
GO:0071887,leukocyte apoptotic process,-1.5627,0.26306,MIR-196A-2
GO:0098760,response to interleukin-7,-1.4715,0.33405,MIR-196A-2
GO:0034341,response to interferon-gamma,-1.4836,0.34128,MIR-196A-2
GO:0050663,cytokine secretion,2.0755,0.00015259,MIR-197
GO:0007159,leukocyte cell-cell adhesion,2.0921,0.00016212,MIR-197
GO:0002526,acute inflammatory response,2.1082,0.00017293,MIR-197
GO:0071706,tumor necrosis factor superfamily cytokine production,2.109,0.00018528,MIR-197
GO:1990868,response to chemokine,2.1229,0.00019954,MIR-197
GO:0050900,leukocyte migration,2.1235,0.00021616,MIR-197
GO:0001525,angiogenesis,2.1414,0.00028822,MIR-197
GO:0002446,neutrophil mediated immunity,2.167,0.00037057,MIR-197
GO:0050727,regulation of inflammatory response,2.177,0.00043233,MIR-197
GO:0048010,vascular endothelial growth factor receptor signaling pathway,2.0629,0.00043233,MIR-197
GO:0036230,granulocyte activation,2.1942,0.00051879,MIR-197
GO:0001819,positive regulation of cytokine production,2.0427,0.00068262,MIR-197
GO:0034341,response to interferon-gamma,2.0232,0.00074113,MIR-197
GO:0002764,immune response-regulating signaling pathway,1.9789,0.00074113,MIR-197
GO:0002446,neutrophil mediated immunity,0.10756,0.93991,MIR-198
GO:0036230,granulocyte activation,0.10852,0.93999,MIR-198
GO:0001819,positive regulation of cytokine production,0.090373,0.94148,MIR-198
GO:0001525,angiogenesis,1.6767,0.0021088,MIR-199A-1
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.7325,0.0010645,MIR-199A-2
GO:0001525,angiogenesis,1.7063,0.0018850,MIR-199A-2
GO:0050900,leukocyte migration,1.6779,0.0020107,MIR-199A-2
GO:0001525,angiogenesis,1.7589,0.00058620,MIR-199B
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.7498,0.00058620,MIR-199B
GO:0050900,leukocyte migration,1.7318,0.00065134,MIR-199B
GO:0001525,angiogenesis,-2.3367,<2.2e-16,MIR-19B-1
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-2.0796,0.00053770,MIR-19B-1
GO:0002446,neutrophil mediated immunity,-1.9681,0.00056108,MIR-19B-1
GO:0002446,neutrophil mediated immunity,-2.3533,<2.2e-16,MIR-19B-2
GO:0036230,granulocyte activation,-2.3705,<2.2e-16,MIR-19B-2
GO:0019882,antigen processing and presentation,-1.9817,0.0028258,MIR-19B-2
GO:0019882,antigen processing and presentation,-1.9502,0.012233,MIR-20A
GO:0002251,organ or tissue specific immune response,-1.7502,0.069464,MIR-20A
GO:0001525,angiogenesis,-2.0851,<2.2e-16,MIR-200A
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-1.924,0.00039123,MIR-200A
GO:0001525,angiogenesis,-1.8197,0.0012655,MIR-200B
GO:0034340,response to type I interferon,1.5255,0.30278,MIR-200B
GO:0032606,type I interferon production,1.5671,0.31918,MIR-200B
GO:1990823,response to leukemia inhibitory factor,1.4871,0.33288,MIR-200B
GO:0001525,angiogenesis,-2.0606,<2.2e-16,MIR-200C
GO:0034340,response to type I interferon,1.8902,0.015541,MIR-200C
GO:0032606,type I interferon production,1.6381,0.11494,MIR-200C
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.7661,0.010689,MIR-204
GO:1990868,response to chemokine,1.762,0.010689,MIR-204
GO:0002446,neutrophil mediated immunity,1.9499,0.0046714,MIR-205
GO:0036230,granulocyte activation,1.932,0.0046714,MIR-205
GO:0032602,chemokine production,1.8239,0.022356,MIR-205
GO:0042092,type 2 immune response,1.8059,0.027153,MIR-205
GO:0002250,adaptive immune response,1.7395,0.045713,MIR-205
GO:0007159,leukocyte cell-cell adhesion,1.7454,0.045996,MIR-205
GO:0006959,humoral immune response,1.7047,0.047715,MIR-205
GO:0034612,response to tumor necrosis factor,1.6926,0.053297,MIR-205
GO:0008356,asymmetric cell division,-1.1488,0.79104,MIR-205
GO:0001818,negative regulation of cytokine production,-2.1145,<2.2e-16,MIR-206
GO:0002269,leukocyte activation involved in inflammatory response,-2.1252,<2.2e-16,MIR-206
GO:0002507,tolerance induction,-2.242,<2.2e-16,MIR-206
GO:0001773,myeloid dendritic cell activation,-2.2447,<2.2e-16,MIR-206
GO:0002532,production of molecular mediator involved in inflammatory response,-2.3774,<2.2e-16,MIR-206
GO:0006959,humoral immune response,-2.4079,<2.2e-16,MIR-206
GO:0002697,regulation of immune effector process,-2.4244,<2.2e-16,MIR-206
GO:0002285,lymphocyte activation involved in immune response,-2.4445,<2.2e-16,MIR-206
GO:0019882,antigen processing and presentation,-2.4519,<2.2e-16,MIR-206
GO:0002683,negative regulation of immune system process,-2.4727,<2.2e-16,MIR-206
GO:0002526,acute inflammatory response,-2.4756,<2.2e-16,MIR-206
GO:0002694,regulation of leukocyte activation,-2.4982,<2.2e-16,MIR-206
GO:0002521,leukocyte differentiation,-2.5402,<2.2e-16,MIR-206
GO:0001819,positive regulation of cytokine production,-2.5414,<2.2e-16,MIR-206
GO:0002764,immune response-regulating signaling pathway,-2.5424,<2.2e-16,MIR-206
GO:0002449,lymphocyte mediated immunity,-2.6385,<2.2e-16,MIR-206
GO:0002446,neutrophil mediated immunity,-2.6833,<2.2e-16,MIR-206
GO:0002250,adaptive immune response,-2.8189,<2.2e-16,MIR-206
GO:0002448,mast cell mediated immunity,-2.1472,<2.2e-16,MIR-208A
GO:0002507,tolerance induction,-2.1892,<2.2e-16,MIR-208A
GO:0001773,myeloid dendritic cell activation,-2.2035,<2.2e-16,MIR-208A
GO:0002532,production of molecular mediator involved in inflammatory response,-2.2267,<2.2e-16,MIR-208A
GO:0002440,production of molecular mediator of immune response,-2.2938,<2.2e-16,MIR-208A
GO:0002446,neutrophil mediated immunity,-2.3416,<2.2e-16,MIR-208A
GO:0002683,negative regulation of immune system process,-2.3525,<2.2e-16,MIR-208A
GO:0001818,negative regulation of cytokine production,-2.3666,<2.2e-16,MIR-208A
GO:0002521,leukocyte differentiation,-2.4289,<2.2e-16,MIR-208A
GO:0002285,lymphocyte activation involved in immune response,-2.4336,<2.2e-16,MIR-208A
GO:0002697,regulation of immune effector process,-2.523,<2.2e-16,MIR-208A
GO:0001819,positive regulation of cytokine production,-2.5819,<2.2e-16,MIR-208A
GO:0002449,lymphocyte mediated immunity,-2.6075,<2.2e-16,MIR-208A
GO:0002694,regulation of leukocyte activation,-2.6262,<2.2e-16,MIR-208A
GO:0002764,immune response-regulating signaling pathway,-2.6878,<2.2e-16,MIR-208A
GO:0007159,leukocyte cell-cell adhesion,2.3774,<2.2e-16,MIR-21
GO:0002250,adaptive immune response,2.3768,<2.2e-16,MIR-21
GO:0002449,lymphocyte mediated immunity,2.3044,<2.2e-16,MIR-21
GO:0002764,immune response-regulating signaling pathway,2.2833,<2.2e-16,MIR-21
GO:0001819,positive regulation of cytokine production,2.2815,<2.2e-16,MIR-21
GO:0002694,regulation of leukocyte activation,2.2565,<2.2e-16,MIR-21
GO:0002446,neutrophil mediated immunity,2.227,<2.2e-16,MIR-21
GO:0002285,lymphocyte activation involved in immune response,2.2016,<2.2e-16,MIR-21
GO:0002697,regulation of immune effector process,2.2013,<2.2e-16,MIR-21
GO:0002521,leukocyte differentiation,2.1932,<2.2e-16,MIR-21
GO:0002526,acute inflammatory response,2.168,<2.2e-16,MIR-21
GO:0002683,negative regulation of immune system process,2.1164,<2.2e-16,MIR-21
GO:0006959,humoral immune response,2.1036,<2.2e-16,MIR-21
GO:0001818,negative regulation of cytokine production,2.0752,<2.2e-16,MIR-21
GO:0002532,production of molecular mediator involved in inflammatory response,2.0576,<2.2e-16,MIR-21
GO:0002440,production of molecular mediator of immune response,2.0294,<2.2e-16,MIR-21
GO:0002507,tolerance induction,2.0028,<2.2e-16,MIR-21
GO:0001525,angiogenesis,2.0029,<2.2e-16,MIR-21
GO:0098760,response to interleukin-7,-1.4828,0.10976,MIR-210
GO:0032634,interleukin-5 production,-1.651,0.16288,MIR-211
GO:0034612,response to tumor necrosis factor,1.2139,0.57093,MIR-211
GO:0006925,inflammatory cell apoptotic process,1.2404,0.57215,MIR-211
GO:0008356,asymmetric cell division,1.251,0.57263,MIR-211
GO:0002251,organ or tissue specific immune response,1.2251,0.57301,MIR-211
GO:0001818,negative regulation of cytokine production,1.1636,0.5748,MIR-211
GO:0007159,leukocyte cell-cell adhesion,1.9855,<2.2e-16,MIR-212
GO:0002250,adaptive immune response,1.9448,<2.2e-16,MIR-212
GO:0032609,interferon-gamma production,1.9374,<2.2e-16,MIR-212
GO:0001525,angiogenesis,1.9271,<2.2e-16,MIR-212
GO:0032635,interleukin-6 production,1.8981,<2.2e-16,MIR-212
GO:0032615,interleukin-12 production,1.8924,<2.2e-16,MIR-212
GO:0002526,acute inflammatory response,1.8887,<2.2e-16,MIR-212
GO:0032612,interleukin-1 production,1.8838,<2.2e-16,MIR-212
GO:0002449,lymphocyte mediated immunity,1.8794,<2.2e-16,MIR-212
GO:0002694,regulation of leukocyte activation,1.8689,<2.2e-16,MIR-212
GO:0001819,positive regulation of cytokine production,1.8509,<2.2e-16,MIR-212
GO:0002521,leukocyte differentiation,1.8403,<2.2e-16,MIR-212
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.9484,<2.2e-16,MIR-181A-1
GO:0034340,response to type I interferon,-1.6667,0.043957,MIR-181A-1
GO:0001525,angiogenesis,1.642,0.0034735,MIR-214
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-1.8165,0.027433,MIR-215
GO:0006959,humoral immune response,2.0529,0.73625,MIR-215
GO:1990868,response to chemokine,1.0176,0.82715,MIR-215
GO:0071706,tumor necrosis factor superfamily cytokine production,1.0265,0.82856,MIR-215
GO:0032606,type I interferon production,0.94619,0.83197,MIR-215
GO:0007159,leukocyte cell-cell adhesion,0.96931,0.83212,MIR-215
GO:0150076,neuroinflammatory response,1.0203,0.83269,MIR-215
GO:0050900,leukocyte migration,2.0353,0.0023043,MIR-216A
GO:1990868,response to chemokine,2.0442,0.0034565,MIR-216A
GO:0050727,regulation of inflammatory response,1.8091,0.016673,MIR-216A
GO:0032615,interleukin-12 production,1.9295,<2.2e-16,MIR-217
GO:0050900,leukocyte migration,1.8924,<2.2e-16,MIR-217
GO:0001525,angiogenesis,1.8828,<2.2e-16,MIR-217
GO:0002250,adaptive immune response,1.8724,<2.2e-16,MIR-217
GO:1990868,response to chemokine,1.8654,<2.2e-16,MIR-217
GO:0032609,interferon-gamma production,1.838,<2.2e-16,MIR-217
GO:0034340,response to type I interferon,-1.8629,0.0093512,MIR-218-1
GO:0001818,negative regulation of cytokine production,-2.2278,<2.2e-16,MIR-218-2
GO:0002440,production of molecular mediator of immune response,-2.2394,<2.2e-16,MIR-218-2
GO:0006959,humoral immune response,-2.2899,<2.2e-16,MIR-218-2
GO:0002521,leukocyte differentiation,-2.2933,<2.2e-16,MIR-218-2
GO:0001773,myeloid dendritic cell activation,-2.3287,<2.2e-16,MIR-218-2
GO:0002285,lymphocyte activation involved in immune response,-2.407,<2.2e-16,MIR-218-2
GO:0002697,regulation of immune effector process,-2.4951,<2.2e-16,MIR-218-2
GO:0002526,acute inflammatory response,-2.4953,<2.2e-16,MIR-218-2
GO:0001819,positive regulation of cytokine production,-2.5048,<2.2e-16,MIR-218-2
GO:0002449,lymphocyte mediated immunity,-2.5186,<2.2e-16,MIR-218-2
GO:0002532,production of molecular mediator involved in inflammatory response,-2.5419,<2.2e-16,MIR-218-2
GO:0002694,regulation of leukocyte activation,-2.5718,<2.2e-16,MIR-218-2
GO:0007159,leukocyte cell-cell adhesion,-2.6373,<2.2e-16,MIR-218-2
GO:0002250,adaptive immune response,-2.6393,<2.2e-16,MIR-218-2
GO:0002446,neutrophil mediated immunity,-2.8163,<2.2e-16,MIR-218-2
GO:0007159,leukocyte cell-cell adhesion,2.0704,<2.2e-16,MIR-22
GO:0002250,adaptive immune response,2.0546,<2.2e-16,MIR-22
GO:0032609,interferon-gamma production,1.9964,<2.2e-16,MIR-22
GO:0002449,lymphocyte mediated immunity,1.9883,<2.2e-16,MIR-22
GO:0002448,mast cell mediated immunity,1.9682,<2.2e-16,MIR-22
GO:0032635,interleukin-6 production,1.9492,<2.2e-16,MIR-22
GO:0002285,lymphocyte activation involved in immune response,1.9492,<2.2e-16,MIR-22
GO:0002526,acute inflammatory response,1.9349,<2.2e-16,MIR-22
GO:0002694,regulation of leukocyte activation,1.9334,<2.2e-16,MIR-22
GO:0001819,positive regulation of cytokine production,1.9321,<2.2e-16,MIR-22
GO:0032615,interleukin-12 production,1.9288,<2.2e-16,MIR-22
GO:0002446,neutrophil mediated immunity,1.9187,<2.2e-16,MIR-22
GO:0002521,leukocyte differentiation,1.9153,<2.2e-16,MIR-22
GO:0002764,immune response-regulating signaling pathway,1.8986,<2.2e-16,MIR-22
GO:0007159,leukocyte cell-cell adhesion,2.5232,<2.2e-16,MIR-221
GO:0002250,adaptive immune response,2.4807,<2.2e-16,MIR-221
GO:0002764,immune response-regulating signaling pathway,2.3945,<2.2e-16,MIR-221
GO:0002449,lymphocyte mediated immunity,2.3292,<2.2e-16,MIR-221
GO:0001819,positive regulation of cytokine production,2.3243,<2.2e-16,MIR-221
GO:0002694,regulation of leukocyte activation,2.3163,<2.2e-16,MIR-221
GO:0002697,regulation of immune effector process,2.3015,<2.2e-16,MIR-221
GO:0002521,leukocyte differentiation,2.284,<2.2e-16,MIR-221
GO:0002683,negative regulation of immune system process,2.2353,<2.2e-16,MIR-221
GO:0002285,lymphocyte activation involved in immune response,2.1965,<2.2e-16,MIR-221
GO:0001818,negative regulation of cytokine production,2.1456,<2.2e-16,MIR-221
GO:0002532,production of molecular mediator involved in inflammatory response,2.142,<2.2e-16,MIR-221
GO:0002526,acute inflammatory response,2.1031,<2.2e-16,MIR-221
GO:0006959,humoral immune response,2.0944,<2.2e-16,MIR-221
GO:0001525,angiogenesis,2.0941,<2.2e-16,MIR-221
GO:0001773,myeloid dendritic cell activation,1.9725,<2.2e-16,MIR-221
GO:0002446,neutrophil mediated immunity,2.049,<2.2e-16,MIR-221
GO:0007159,leukocyte cell-cell adhesion,2.4271,<2.2e-16,MIR-222
GO:0002250,adaptive immune response,2.398,<2.2e-16,MIR-222
GO:0002764,immune response-regulating signaling pathway,2.3182,<2.2e-16,MIR-222
GO:0002694,regulation of leukocyte activation,2.273,<2.2e-16,MIR-222
GO:0002449,lymphocyte mediated immunity,2.2633,<2.2e-16,MIR-222
GO:0002697,regulation of immune effector process,2.2471,<2.2e-16,MIR-222
GO:0002285,lymphocyte activation involved in immune response,2.2206,<2.2e-16,MIR-222
GO:0001819,positive regulation of cytokine production,2.2187,<2.2e-16,MIR-222
GO:0002521,leukocyte differentiation,2.2186,<2.2e-16,MIR-222
GO:0002532,production of molecular mediator involved in inflammatory response,2.1744,<2.2e-16,MIR-222
GO:0006959,humoral immune response,2.1722,<2.2e-16,MIR-222
GO:0001818,negative regulation of cytokine production,2.1543,<2.2e-16,MIR-222
GO:0002683,negative regulation of immune system process,2.1539,<2.2e-16,MIR-222
GO:0002526,acute inflammatory response,2.1096,<2.2e-16,MIR-222
GO:0002446,neutrophil mediated immunity,2.0952,<2.2e-16,MIR-222
GO:0001525,angiogenesis,2.0301,<2.2e-16,MIR-222
GO:0007159,leukocyte cell-cell adhesion,1.8336,<2.2e-16,MIR-223
GO:0002250,adaptive immune response,1.8219,<2.2e-16,MIR-223
GO:0002449,lymphocyte mediated immunity,1.808,<2.2e-16,MIR-223
GO:0002269,leukocyte activation involved in inflammatory response,1.8034,<2.2e-16,MIR-223
GO:0002764,immune response-regulating signaling pathway,1.7885,<2.2e-16,MIR-223
GO:0002694,regulation of leukocyte activation,1.7774,<2.2e-16,MIR-223
GO:0006959,humoral immune response,1.7763,<2.2e-16,MIR-223
GO:0002526,acute inflammatory response,1.7752,<2.2e-16,MIR-223
GO:0001773,myeloid dendritic cell activation,1.7733,<2.2e-16,MIR-223
GO:0002285,lymphocyte activation involved in immune response,1.7696,<2.2e-16,MIR-223
GO:0001819,positive regulation of cytokine production,1.7641,<2.2e-16,MIR-223
GO:0002507,tolerance induction,1.7571,<2.2e-16,MIR-223
GO:0002532,production of molecular mediator involved in inflammatory response,1.7528,<2.2e-16,MIR-223
GO:0002446,neutrophil mediated immunity,1.7522,<2.2e-16,MIR-223
GO:0002250,adaptive immune response,2.6004,<2.2e-16,MIR-224
GO:0007159,leukocyte cell-cell adhesion,2.486,<2.2e-16,MIR-224
GO:0002449,lymphocyte mediated immunity,2.4642,<2.2e-16,MIR-224
GO:0002446,neutrophil mediated immunity,2.4277,<2.2e-16,MIR-224
GO:0002694,regulation of leukocyte activation,2.4099,<2.2e-16,MIR-224
GO:0002764,immune response-regulating signaling pathway,2.3996,<2.2e-16,MIR-224
GO:0002285,lymphocyte activation involved in immune response,2.3536,<2.2e-16,MIR-224
GO:0001819,positive regulation of cytokine production,2.3497,<2.2e-16,MIR-224
